year,state,accuracy,precision,recall,f1_score,true_dp,race_dp,race_parity,race_tpr_0,race_tpr_1,race_tpr_diff,race_fpr_0,race_fpr_1,race_fpr_diff,sex_dp,sex_parity,sex_tpr_0,sex_tpr_1,sex_tpr_diff,sex_fpr_0,sex_fpr_1,sex_fpr_diff,nosex_accuracy,nosex_precision,nosex_recall,nosex_f1_score,nosex_true_dp,nosex_race_parity,nosex_race_tpr_0,nosex_race_tpr_1,nosex_race_tpr_diff,nosex_race_fpr_0,nosex_race_fpr_1,nosex_race_fpr_diff,norace_accuracy,norace_precision,norace_recall,norace_f1_score,norace_true_dp,norace_sex_parity,norace_sex_tpr_0,norace_sex_tpr_1,norace_sex_tpr_diff,norace_sex_fpr_0,norace_sex_fpr_1,norace_sex_fpr_diff,neither_accuracy,neither_precision,neither_recall,neither_f1_score,neither_true_dp
2014,AK,0.7750342935528121,0.6837606837606838,0.64,0.6611570247933884,0.365632720285479,0.4103760636837771,0.38334050135168346,0.7222222222222222,0.3269230769230769,0.3952991452991453,0.2706422018348624,0.05747126436781609,0.2131709374670463,0.4389239637661268,0.18116130811904252,0.6932515337423313,0.5402298850574712,0.15302164868486012,0.20800000000000002,0.09606986899563319,0.11193013100436683,0.7654320987654321,0.6771300448430493,0.604,0.638477801268499,0.365632720285479,0.36809566232489555,0.696969696969697,0.25,0.446969696969697,0.25229357798165136,0.06513409961685823,0.18715947836479313,0.7599451303155007,0.6623376623376623,0.612,0.6361746361746362,0.365632720285479,0.1738973856008827,0.656441717791411,0.528735632183908,0.12770608560750307,0.22,0.10043668122270742,0.11956331877729258,0.7544581618655692,0.6606334841628959,0.584,0.6199575371549894,0.365632720285479
2014,AL,0.8015493278651173,0.650887573964497,0.48845470692717585,0.5580923389142567,0.26298760481224936,0.25264309150565073,0.17961775730820134,0.5288659793814433,0.23717948717948717,0.29168649220195614,0.11564918314703354,0.02774813233724653,0.08790105080978701,0.4790375501275975,0.25876261202306317,0.6042713567839196,0.20909090909090908,0.39518044769301053,0.1628838451268358,0.02889518413597734,0.13398866099085846,0.7947140578719526,0.6466753585397653,0.4404973357015986,0.5240359218172214,0.26298760481224936,0.1754456870286643,0.4793814432989691,0.1987179487179487,0.28066349458102036,0.10963026655202061,0.017075773745997867,0.09255449280602275,0.8008658008658008,0.6532846715328468,0.4769094138543517,0.5513347022587269,0.26298760481224936,0.2624351582316014,0.592964824120603,0.19696969696969696,0.39599512715090607,0.16355140186915887,0.0226628895184136,0.14088851235074526,0.7938026885395306,0.6483221476510067,0.4289520426287744,0.5163014430785676,0.26298760481224936
2014,AR,0.8254027725739977,0.6666666666666666,0.4013722126929674,0.5010706638115632,0.22092326139088728,0.16913968824940048,0.09451403921294053,0.4128787878787879,0.29090909090909095,0.12196969696969695,0.06451612903225806,0.021844660194174758,0.0426714688380833,0.4758693045563549,0.19462907272971058,0.5119047619047619,0.11656441717791412,0.39534034472684776,0.10090817356205853,0.015525114155251143,0.08538305940680739,0.8224053952791308,0.6835016835016835,0.3481989708404803,0.46136363636363636,0.22092326139088728,0.09594548074847278,0.36553030303030304,0.1818181818181818,0.18371212121212124,0.05316606929510155,0.012135922330097087,0.04103014696500446,0.8257774447358561,0.6685714285714286,0.4013722126929674,0.5016077170418006,0.22092326139088728,0.19542398528932903,0.5119047619047619,0.11656441717791412,0.39534034472684776,0.10090817356205853,0.014611872146118723,0.0862963014159398,0.8224053952791308,0.6810631229235881,0.3516295025728988,0.4638009049773756,0.22092326139088728
2014,AZ,0.7810457516339869,0.6585195530726257,0.5256410256410257,0.5846249225046497,0.2969801947839728,0.20498071769396692,0.1416353422457815,0.5516569200779727,0.3686274509803921,0.1830294690975806,0.1295352323838081,0.05751765893037336,0.07201757345343474,0.4693770834695078,0.21317381609551467,0.6432900432900434,0.31298904538341155,0.3303009979066318,0.16373991457047937,0.06489409643983776,0.09884581813064161,0.7799019607843137,0.6597569692637598,0.5144927536231884,0.5781396805512058,0.2969801947839728,0.15199627729538792,0.548408057179987,0.30980392156862746,0.2386041356113595,0.1262368815592204,0.055499495459132187,0.0707373861000882,0.780718954248366,0.6589310829817159,0.5222965440356745,0.5827114427860697,0.2969801947839728,0.21404694471486882,0.6424242424242425,0.3051643192488263,0.33725992317541614,0.16231608922638824,0.06444344299233888,0.09787264623404936,0.7799019607843137,0.6590747330960854,0.5161649944258639,0.5789309159112223,0.2969801947839728
2014,CA,0.7988257359536818,0.7395957193816884,0.6676378133864909,0.7017770076963372,0.3546082711304168,0.36279024252341785,0.11438119887812725,0.7025709219858156,0.5892012938541926,0.11336962813162299,0.14842236368668696,0.09909619109102648,0.04932617259566048,0.4665952669606015,0.1526479219969272,0.7323359316067387,0.5665160149341717,0.165819916672567,0.1583290355853533,0.1010568031704095,0.057272232414943794,0.7937970589034766,0.7282308657465496,0.6674844744307291,0.6965357228578286,0.3546082711304168,0.11067320989607121,0.6981382978723404,0.598656382184623,0.09948191568771736,0.15700249100470526,0.10544437271357866,0.051558118291126595,0.7990160102204463,0.7398726114649682,0.6679444912980143,0.7020710774437908,0.3546082711304168,0.15291734929952935,0.7327131003268796,0.5667125171939477,0.16600058313293198,0.1583290355853533,0.10080911492734478,0.057519920658008525,0.7946668841229716,0.7296076298837112,0.6686345165989419,0.6977916466634662,0.3546082711304168
2014,CO,0.7697084698982232,0.6971264367816092,0.6001979218208807,0.6450412124434991,0.35260833563345295,0.11910019321004692,0.16836838698471582,0.6118843683083512,0.4575163398692811,0.15436802843907016,0.15189088654680719,0.06727272727272726,0.08461815927407992,0.4691898978746895,0.24070005298896807,0.7241379310344828,0.3879194630872483,0.3362184679472345,0.1947911014650027,0.0869115364718055,0.1078795649931972,0.763843367258927,0.6833520809898763,0.6011875309252845,0.639642011055541,0.35260833563345295,0.18230328152217684,0.6134903640256959,0.4509803921568628,0.1625099718688331,0.16398016119032857,0.061818181818181814,0.10216197937214676,0.7697084698982232,0.6975806451612904,0.599208312716477,0.6446632951823263,0.35260833563345295,0.24149967639136746,0.7217868338557993,0.38926174496644295,0.3325250888893564,0.1958762886597938,0.08484221417485774,0.11103407448493607,0.7641883732965327,0.6845372460496614,0.6001979218208807,0.639599261798049,0.35260833563345295
2014,CT,0.8031576266870385,0.7689987937273823,0.7657657657657657,0.7673788745109841,0.43075434217898434,0.1778638007436459,0.2505543237250555,0.7941988950276243,0.5760368663594471,0.21816202866817724,0.19777647747220597,0.081374321880651,0.11640215559155498,0.48927825599755514,0.20590328738576485,0.8167487684729066,0.6861538461538461,0.13059492231906045,0.22432701894317048,0.1254964257347101,0.09883059320846038,0.7983193277310925,0.7624774503908599,0.7615615615615615,0.7620192307692307,0.43075434217898434,0.2553690212226798,0.7900552486187845,0.5714285714285715,0.218626677190213,0.20538326506729082,0.07956600361663653,0.1258172614506543,0.7993379169849758,0.7649546827794562,0.7603603603603604,0.7626506024096386,0.43075434217898434,0.20543604157657036,0.8098522167487685,0.683076923076923,0.12677529367184548,0.2293120638085743,0.12629070691024624,0.10302135689832806,0.7993379169849758,0.7611673615247171,0.7675675675675676,0.7643540669856459,0.43075434217898434
2014,DE,0.7510822510822511,0.6941580756013745,0.5889212827988338,0.637223974763407,0.3487767915133146,0.23966226455942843,0.17496777378568884,0.604810996563574,0.5,0.10481099656357395,0.18329466357308585,0.06666666666666667,0.11662799690641919,0.496427798224724,0.22591043041936257,0.6798029556650246,0.4571428571428572,0.2226600985221674,0.2307692307692308,0.09034267912772587,0.14042655164150494,0.7543290043290043,0.704225352112676,0.5830903790087464,0.6379585326953748,0.3487767915133146,0.190614629329969,0.6082474226804124,0.4423076923076923,0.16593973037272014,0.1740139211136891,0.06,0.1140139211136891,0.7445887445887446,0.6838487972508591,0.5801749271137027,0.6277602523659306,0.3487767915133146,0.23456847964093458,0.6847290640394088,0.42857142857142855,0.25615763546798026,0.23461538461538461,0.09657320872274144,0.13804217589264317,0.75,0.7,0.5714285714285714,0.6292134831460674,0.3487767915133146
2014,FL,0.8042979002624672,0.688883235817858,0.5347551342812006,0.602112284602557,0.28010236444366676,0.20214790349745182,0.152208104725811,0.5602165087956699,0.35555555555555557,0.2046609532401143,0.10848455125061304,0.03862660944206008,0.06985794180855295,0.49180865723222295,0.20875384507503458,0.644367308299148,0.35145118733509234,0.29291612096405567,0.147459315841913,0.04651485698417106,0.10094445885774193,0.797736220472441,0.6772266943651,0.5150078988941548,0.58508132361189,0.28010236444366676,0.15391429278301394,0.5421741091565179,0.3238095238095238,0.21836458534699404,0.11054438450220697,0.03829646748101684,0.07224791702119013,0.803477690288714,0.6879795396419437,0.5312006319115324,0.5995096946735012,0.28010236444366676,0.20865628558949284,0.6408961817608079,0.3477572559366754,0.2931389258241325,0.147459315841913,0.04609830602610386,0.10136100981580913,0.7979549431321085,0.6796116504854369,0.5114533965244866,0.5836619718309859,0.28010236444366676
2014,GA,0.8050811272416738,0.7220967013104383,0.5688857244571022,0.6363998407009159,0.29586215731488597,0.322188060466308,0.15316015113309625,0.6114443931702814,0.42523364485981313,0.1862107483104683,0.11620057859209258,0.05516383243467441,0.06103674615741817,0.48304722862755145,0.1998969108641933,0.6767045454545454,0.38798856053384173,0.28871598492070366,0.13739967897271269,0.05429732868757259,0.0831023502851401,0.8003842869342442,0.7129251700680272,0.5596297614809541,0.6270442760271241,0.29586215731488597,0.16404082118518992,0.6109829257037379,0.3862928348909658,0.22469009081277214,0.12054001928640308,0.05516383243467441,0.06537618685172866,0.8026259607173356,0.7146690518783542,0.5688857244571022,0.6334985133795837,0.29586215731488597,0.20162098306767792,0.6744318181818182,0.39180171591992374,0.28263010226189444,0.14382022471910114,0.05516840882694541,0.08865181589215573,0.7967549103330487,0.7055883689232167,0.5528657885368459,0.6199600798403193,0.29586215731488597
